yyyymm,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK,,,,,,,,,,
200205,-0.1447,0.2176,-0.0105,-0.0584,-0.1594,,,,,,,,,,
200206,0.1166,0.5534,-0.0249,-0.016,0.1289,,,,,,,,,,
200207,0.1124,-0.0303,-0.0041,0.3341,0.4167,,,,,,,,,,
200208,0.1299,-0.0978,-0.1705,-0.0448,-0.0748,,,,,,,,,,
200209,0.1906,-0.0392,0.0279,-0.0608,0.0455,,,,,,,,,,
200210,-0.204,-0.2804,-0.1591,-0.2034,-0.2288,,,,,,,,,,
200211,-0.1358,-0.0929,-0.0987,-0.2062,-0.1221,,,,,,,,,,
200212,0.0535,0.4036,0.1752,-0.0858,-0.0677,,,,,,,,,,
200301,-0.0863,0.0316,-0.0819,-0.2281,-0.0416,,,,,,,,,,
200302,0.0722,-0.0977,-0.0091,0.2217,-0.0175,,,,,,,,,,
200303,-0.0088,0.0335,-0.0651,-0.0058,0.0591,,,,,,,,,,
200304,-0.2341,-0.1113,-0.1111,-0.2095,-0.0525,,,,,,,,,,
200305,0.192,0.252,0.1527,-0.0557,0.0491,,,,,,,,,,
200306,-0.0496,-0.0578,-0.1576,0.0573,-0.0747,,,,,,,,,,
200307,0.2362,0.0336,0.1524,-0.0753,-0.2153,,,,,,,,,,
200308,-0.081,0.0644,0.2395,0.1129,-0.1338,,,,,,,,,,
200309,0.0248,0.4498,-0.006,-0.1488,0.0107,,,,,,,,,,
200310,-0.1696,-0.0844,0.0168,-0.1052,-0.2446,,,,,,,,,,
200311,-0.1135,0.1099,-0.0829,0.0399,-0.1838,,,,,,,,,,
200312,-0.0727,0.0298,-0.0034,-0.0865,-0.0168,,,,,,,,,,
200401,-0.143,0.0002,0.0347,-0.1159,-0.1185,,,,,,,,,,
200402,-0.0995,-0.0708,0.0742,-0.0689,-0.1489,,,,,,,,,,
200403,-0.0066,0.1229,0.1488,-0.0159,-0.0158,,,,,,,,,,
200404,-0.0197,-0.0792,0.1052,0.0233,-0.1817,,,,,,,,,,
200405,-0.1318,-0.1197,0.1111,0.1507,-0.2593,,,,,,,,,,
200406,-0.1708,-0.1787,-0.0934,-0.1829,-0.1557,,,,,,,,,,
200407,-0.1162,-0.0878,0.1543,-0.2465,-0.1818,,,,,,,,,,
200408,0.0067,-0.3,-0.0605,-0.0733,-0.2299,,,,,,,,,,
200409,-0.1239,-0.1531,0.0183,-0.1371,-0.0806,,,,,,,,,,
200410,-0.0554,0.233,-0.0564,-0.0733,0.0669,,,,,,,,,,
200411,-0.0434,0.4175,-0.0411,0.0103,0.1311,,,,,,,,,,
200412,-0.0339,-0.0597,-0.1124,-0.1358,0.0153,,,,,,,,,,
200501,-0.0993,-0.1111,-0.1252,-0.1626,-0.1946,,,,,,,,,,
200502,-0.0299,-0.0531,0.4059,0.1073,0.0572,,,,,,,,,,
200503,-0.1335,-0.004,-0.1001,-0.1247,0.0282,,,,,,,,,,
200504,0.0064,-0.138,-0.2013,-0.0465,0.0748,,,,,,,,,,
200505,0.0363,0.3651,-0.0163,-0.0895,-0.266,,,,,,,,,,
200506,0.0097,-0.0409,-0.021,0.1917,0.0016,,,,,,,,,,
200507,-0.2595,-0.0293,-0.2199,-0.0479,0.0676,,,,,,,,,,
200508,0.0335,-0.1754,0.0121,-0.0899,-0.0747,,,,,,,,,,
200509,-0.1313,0.188,0.06,0.2563,0.0418,,,,,,,,,,
200510,-0.0332,-0.0213,-0.1069,0.2853,0.0004,,,,,,,,,,
200511,-0.105,0.1842,0.0165,-0.0085,-0.1111,,,,,,,,,,
200512,-0.0186,0.0061,0.0991,-0.0661,-0.0602,,,,,,,,,,
200601,-0.2374,-0.0805,0.0496,-0.2921,0.076,,,,,,,,,,
200602,-0.1832,-0.1338,-0.1007,-0.1585,-0.1843,,,,,,,,,,
200603,-0.0662,-0.1037,-0.0589,0.0398,-0.0084,,,,,,,,,,
200604,0.198,0.3177,0.2275,0.0944,-0.0007,,,,,,,,,,
200605,-0.0696,0.1569,-0.0457,0.1516,0.0763,,,,,,,,,,
200606,-0.1495,-0.1262,-0.0196,-0.1261,-0.0837,,,,,,,,,,
200607,-0.1733,-0.1157,-0.2304,-0.0069,-0.1068,,,,,,,,,,
200608,-0.0956,-0.0811,-0.0639,-0.0415,-0.2145,,,,,,,,,,
200609,-0.0386,-0.2034,0.0361,-0.1738,-0.0491,,,,,,,,,,
200610,-0.2079,-0.0933,0.3959,-0.0968,0.0165,,,,,,,,,,
200611,-0.1081,0.4743,0.0003,-0.2612,-0.0398,,,,,,,,,,
200612,0.0552,-0.0774,-0.2177,0.1379,0.0168,,,,,,,,,,
200701,0.0126,0.0261,0.0622,0.1657,-0.1765,,,,,,,,,,
200702,-0.0299,-0.1947,0.013,-0.061,0.0973,,,,,,,,,,
200703,-0.1235,-0.018,-0.082,0.1367,0.0407,,,,,,,,,,
200704,-0.136,0.0202,-0.0723,0.0555,0.0902,,,,,,,,,,
200705,-0.0021,-0.1388,-0.1412,0.0532,0.0486,,,,,,,,,,
200706,0.1738,-0.0028,0.1271,-0.0451,-0.068,,,,,,,,,,
200707,-0.1306,0.2082,-0.0321,-0.0172,0.0681,,,,,,,,,,
200708,-0.0078,-0.0037,0.0807,2.2192,0.0486,,,,,,,,,,
200709,0.0609,0.0861,0.3309,0.0439,-0.0968,,,,,,,,,,
200710,-0.1584,0.0497,0.1178,-0.306,0.0045,,,,,,,,,,
200711,0.0335,0.242,0.0115,0.1967,-0.197,,,,,,,,,,
200712,-0.0277,0.0264,-0.0224,-0.0919,-0.1427,,,,,,,,,,
200801,0.0109,0.0509,0.0676,0.7188,0.2821,,,,,,,,,,
200802,-0.028,0.1457,0.3146,0.2668,-0.0711,,,,,,,,,,
200803,0.1478,0.1989,-0.0786,0.0639,-0.1501,,,,,,,,,,
200804,-0.146,-0.2182,-0.0255,0.0794,-0.1236,,,,,,,,,,
200805,0.0026,-0.1887,-0.1507,-0.1215,-0.1061,,,,,,,,,,
200806,-0.0483,-0.0097,0.0311,0.0438,-0.0753,,,,,,,,,,
200807,-0.1272,-0.2575,-0.1428,-0.0348,0.0025,,,,,,,,,,
200808,0.1033,0.6601,0.2373,0.1702,-0.1551,,,,,,,,,,
200809,0.0986,0.3069,0.3139,1.2558,0.2449,,,,,,,,,,
200810,0.0447,0.6922,0.32,1.5279,0.6048,,,,,,,,,,
200811,0.3848,-0.068,-0.0797,0.139,0.0243,,,,,,,,,,
200812,0.302,0.184,0.1616,0.0095,-0.2257,,,,,,,,,,
200901,-0.1834,-0.1683,-0.1276,0.1506,-0.2151,,,,,,,,,,
200902,-0.0504,-0.0988,-0.0849,-0.0832,-0.0155,,,,,,,,,,
200903,-0.0948,-0.0418,-0.1985,-0.0984,0.0187,,,,,,,,,,
200904,-0.1599,-0.2486,-0.1834,-0.1409,0.0144,,,,,,,,,,
200905,0.1469,0.3625,0.0963,0.0887,-0.014,,,,,,,,,,
200906,-0.157,-0.1939,-0.0497,0.0169,-0.1713,,,,,,,,,,
200907,-0.1682,-0.2325,-0.0951,0.2342,0.067,,,,,,,,,,
200908,-0.0696,-0.2152,-0.0883,0.1724,0.1922,,,,,,,,,,
200909,-0.1154,-0.0823,-0.067,-0.0912,-0.0442,,,,,,,,,,
200910,-0.1535,-0.1279,-0.029,-0.1339,-0.1089,,,,,,,,,,
200911,-0.0501,-0.0631,0.1149,-0.1789,-0.1539,,,,,,,,,,
200912,-0.1371,-0.0707,-0.2061,-0.2251,-0.149,,,,,,,,,,
201001,-0.2097,-0.1159,-0.0628,-0.1917,-0.1181,,,,,,,,,,
201002,-0.1419,0.0825,-0.094,-0.1272,-0.23,,,,,,,,,,
201003,-0.2382,-0.1174,-0.1644,-0.2802,-0.0207,,,,,,,,,,
201004,0.0518,-0.1589,-0.0433,0.178,-0.049,,,,,,,,,,
201005,0.2137,0.4772,-0.0432,0.1804,0.1524,,,,,,,,,,
201006,-0.0159,-0.0425,-0.146,-0.2273,-0.0852,,,,,,,,,,
201007,-0.1423,0.1716,0.2218,-0.133,-0.2133,,,,,,,,,,
201008,0.4521,0.0238,-0.0425,-0.0842,-0.2339,,,,,,,,,,
201009,-0.1809,0.007,0.0308,0.0667,-0.0128,,,,,,,,,,
201010,-0.1568,0.0557,0.1601,-0.1166,-0.0895,,,,,,,,,,
201011,0.01,-0.1985,0.0262,-0.0969,-0.1285,,,,,,,,,,
201012,0.0049,-0.0454,-0.014,-0.242,-0.1206,,,,,,,,,,
201101,-0.0645,-0.1763,-0.2097,-0.0981,-0.1531,,,,,,,,,,
201102,-0.1292,-0.159,0.0382,-0.1154,-0.0427,,,,,,,,,,
201103,-0.185,-0.0518,0.0252,-0.2005,-0.0632,,,,,,,,,,
201104,-0.0654,0.2249,0.172,0.0264,-0.0862,,,,,,,,,,
201105,0.0234,-0.1901,-0.1546,-0.045,-0.2163,,,,,,,,,,
201106,-0.1181,-0.1823,-0.0495,-0.0302,-0.1074,,,,,,,,,,
201107,0.347,0.1369,0.0009,-0.0784,-0.0375,,,,,,,,,,
201108,0.3692,-0.0056,0.2202,0.176,0.4642,,,,,,,,,,
201109,0.1352,0.1851,0.278,-0.0807,0.0189,,,,,,,,,,
201110,-0.0969,-0.1694,-0.2153,-0.2467,-0.0693,,,,,,,,,,
201111,0.0229,-0.1926,-0.0616,-0.225,-0.2286,,,,,,,,,,
201112,-0.0095,-0.2514,0.0037,-0.3464,-0.1513,,,,,,,,,,
201201,-0.1497,-0.2309,-0.219,-0.0263,-0.2343,,,,,,,,,,
201202,-0.1419,0.0556,-0.0806,-0.0691,-0.0269,,,,,,,,,,
201203,-0.0855,-0.107,-0.125,-0.2107,-0.1441,,,,,,,,,,
201204,0.0206,-0.1873,-0.1348,-0.0604,-0.1627,,,,,,,,,,
201205,0.505,0.4104,0.1914,0.1262,0.1366,,,,,,,,,,
201206,-0.1335,-0.2316,0.1376,0.1994,-0.1772,,,,,,,,,,
201207,-0.0394,-0.1671,0.1923,0.2981,-0.0804,,,,,,,,,,
201208,-0.0661,-0.2073,-0.1033,-0.1386,-0.0251,,,,,,,,,,
201209,-0.1407,-0.1518,-0.0715,-0.1136,-0.1715,,,,,,,,,,
201210,-0.2663,-0.1985,-0.2465,-0.2702,-0.1501,,,,,,,,,,
201211,-0.1872,-0.0609,-0.0919,-0.1748,-0.1891,,,,,,,,,,
201212,-0.1772,0.0995,0.0343,-0.139,-0.0253,,,,,,,,,,
201301,0.0266,0.1255,-0.1855,-0.0423,0.1275,,,,,,,,,,
201302,-0.0832,0.1183,0.0199,-0.2835,0.183,,,,,,,,,,
201303,-0.0187,-0.1538,-0.1592,0.155,-0.0332,,,,,,,,,,
201304,0.1126,-0.0158,0.4144,-0.269,-0.0873,,,,,,,,,,
201305,0.1108,-0.0019,-0.0666,-0.1099,0.1906,,,,,,,,,,
201306,0.336,0.0795,0.0896,0.1472,-0.0205,,,,,,,,,,
201307,-0.128,-0.1046,0.0068,-0.2003,-0.0052,,,,,,,,,,
201308,-0.0248,-0.2188,0.2833,-0.2859,-0.113,,,,,,,,,,
201309,-0.0281,0.0059,-0.1871,-0.2461,-0.1248,,,,,,,,,,
201310,-0.153,-0.1811,-0.1064,-0.0358,0.049,,,,,,,,,,
201311,-0.1215,0.0219,-0.0781,-0.2888,-0.0943,,,,,,,,,,
201312,-0.0261,-0.0157,0.0257,-0.0533,0.0001,,,,,,,,,,
201401,-0.0253,-0.2325,-0.1001,-0.1751,-0.1258,,,,,,,,,,
201402,-0.1142,-0.1546,0.2162,-0.2936,-0.0496,,,,,,,,,,
201403,-0.2081,-0.1563,0.1991,-0.2546,-0.1038,,,,,,,,,,
201404,-0.1016,-0.2794,-0.1779,-0.1597,-0.125,,,,,,,,,,
201405,0.0934,-0.1315,-0.1222,-0.1586,-0.1233,,,,,,,,,,
201406,-0.1841,-0.1778,0.0106,-0.1062,-0.1731,,,,,,,,,,
201407,-0.0784,-0.0918,0.0983,-0.0883,-0.0813,,,,,,,,,,
201408,0.159,0.1981,-0.17,-0.1137,-0.124,,,,,,,,,,
201409,-0.1265,0.3726,0.4287,-0.2058,0.0286,,,,,,,,,,
201410,0.0879,0.0727,0.2198,0.0121,0.0861,,,,,,,,,,
201411,0.0198,0.1673,0.0057,-0.1908,-0.0187,,,,,,,,,,
201412,0.0917,-0.0281,0.0652,-0.0696,0.1187,,,,,,,,,,
201501,0.373,0.691,0.0588,-0.0446,-0.0752,,,,,,,,,,
201502,-0.0202,-0.1879,-0.0662,-0.061,0.2665,,,,,,,,,,
201503,0.0047,0.1463,-0.1819,-0.16,-0.0551,,,,,,,,,,
201504,-0.0406,-0.0578,-0.1109,-0.1285,-0.1299,,,,,,,,,,
201505,0.1261,-0.0111,-0.1291,-0.3513,-0.234,,,,,,,,,,
201506,0.0604,-0.0212,0.3158,0.013,-0.0245,,,,,,,,,,
201507,-0.187,-0.1827,0.0971,-0.3105,-0.269,,,,,,,,,,
201508,0.0587,0.0366,0.0733,-0.2139,0.6662,,,,,,,,,,
201509,-0.111,-0.1193,-0.1818,-0.072,-0.0917,,,,,,,,,,
201510,-0.1658,-0.1717,-0.1975,-0.1156,-0.1023,,,,,,,,,,
201511,-0.0924,0.173,-0.0429,0.0731,-0.1588,,,,,,,,,,
201512,-0.1873,-0.1002,-0.0439,-0.1528,-0.0081,,,,,,,,,,
201601,0.245,0.0475,-0.1116,-0.08,0.0072,,,,,,,,,,
